com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62670070,0,4361000,9201,200,4976799,90,0,62670070,2024-07-27 20:00:56.406,10,2024-07-26 21:00:00.738,0.0,30,30,-1,1920000,91,6,0,8,6443.223,0,189.49016,fd509337-9427-40ac-92c4-bea90edb4423.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,4976799,47460000,fd509337-9427-40ac-92c4-bea90edb4423,2024-07-27 00:00:00.000,
0,62670070,0,4200000,9726,200,5408971,90,0,62670070,2024-07-28 22:41:11.265,10,2024-07-27 21:01:31.226,0.0,30,30,-1,2340000,100,10,0,8,6725.941,0,197.31999,c1d3e034-172e-4be7-9153-be1e1c4bf6c5.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,5408971,40500000,c1d3e034-172e-4be7-9153-be1e1c4bf6c5,2024-07-28 00:00:00.000,
0,62670070,0,1462426,5167,200,2993145,90,0,62670070,2024-07-29 21:33:56.073,10,2024-07-28 21:00:00.668,0.0,30,30,-1,1260000,54,8,0,8,3588.36,0,106.783676,fe276f1b-9042-48e5-8d2a-255ea72ff39f.extra_data.json,8pzzg0NREq,400,com.sec.android.app.shealth,2992745,33960000,fe276f1b-9042-48e5-8d2a-255ea72ff39f,2024-07-29 00:00:00.000,
0,62670070,0,3113181,7637,200,4202239,90,0,62701610,2024-07-30 20:23:05.308,10,2024-07-29 21:00:00.547,0.0,30,30,-1,1979181,77,8,0,8,5301.54,0,156.50598,567bdfae-04ef-432c-b83a-e52567776e9a.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,4202239,33660000,567bdfae-04ef-432c-b83a-e52567776e9a,2024-07-30 00:00:00.000,
0,62701610,0,3687000,9524,200,5263535,90,0,62701610,2024-07-31 20:35:10.545,10,2024-07-30 21:00:01.120,0.0,30,30,-1,1500000,96,8,0,8,6668.414,0,195.2845,9ba481b3-a62a-4583-a7f1-51a93a3a68cf.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,5263535,44820000,9ba481b3-a62a-4583-a7f1-51a93a3a68cf,2024-07-31 00:00:00.000,
0,62701610,0,3410000,8850,200,4807120,90,0,62701610,2024-08-01 20:35:04.050,10,2024-07-31 21:00:01.819,0.0,30,30,-1,2280000,88,9,0,8,6085.833,0,178.93266,69cf9128-ee4b-4b4a-b5cc-c9d10a0725ed.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,4807120,24060000,69cf9128-ee4b-4b4a-b5cc-c9d10a0725ed,2024-08-01 00:00:00.000,
0,62701610,0,3715000,9634,200,5326648,90,0,62701610,2024-08-02 21:02:58.481,10,2024-08-01 21:00:00.978,0.0,30,30,-1,1200000,97,13,0,8,6703.009,0,198.95299,eea73703-d69a-4c9b-acff-00f802480502.extra_data.json,8pzzg0NREq,1306,com.sec.android.app.shealth,5325342,22860000,eea73703-d69a-4c9b-acff-00f802480502,2024-08-02 00:00:00.000,
0,62701610,0,632000,5755,200,3212510,90,0,62701610,2024-08-03 19:38:22.776,10,2024-08-02 21:00:00.840,0.0,30,30,-1,632000,58,10,0,8,3965.2188,0,117.18933,0acad700-f9b9-45fb-b752-93e19e1a7a99.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,3212510,46920000,0acad700-f9b9-45fb-b752-93e19e1a7a99,2024-08-03 00:00:00.000,
0,62701610,0,1071000,5221,200,2901914,90,0,62701610,2024-08-04 19:58:10.505,10,2024-08-03 21:00:01.462,0.0,30,30,-1,1071000,53,11,0,8,3574.3918,0,106.0425,58dd6c46-d415-4356-9c69-87cb76df6fd5.extra_data.json,8pzzg0NREq,1200,com.sec.android.app.shealth,2900714,24360000,58dd6c46-d415-4356-9c69-87cb76df6fd5,2024-08-04 00:00:00.000,
0,62701610,0,7933365,20391,200,11391137,90,0,62701610,2024-08-05 18:38:28.876,10,2024-08-04 21:00:02.320,0.0,30,30,-1,3660000,210,9,0,8,13957.704,0,414.97473,6715f84f-f3e1-4216-bfbf-57f95993c646.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,11391137,19560000,6715f84f-f3e1-4216-bfbf-57f95993c646,2024-08-05 00:00:00.000,
0,62701610,0,4523181,10256,200,5779701,90,0,62701610,2024-08-06 19:35:32.518,10,2024-08-05 21:00:01.909,0.0,30,30,-1,2220000,106,10,0,8,7124.7007,0,209.70499,f87f1569-a90c-4d29-a707-e4af84984112.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,5779701,18360000,f87f1569-a90c-4d29-a707-e4af84984112,2024-08-06 00:00:00.000,
0,62701610,0,2097000,5060,200,2706303,90,0,62701610,2024-08-07 19:18:47.123,10,2024-08-06 21:00:02.098,0.0,30,30,-1,1140000,50,7,0,8,3477.4663,0,102.461,f53b7c09-6738-4248-aa5a-85e6da775921.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,2706303,43680000,f53b7c09-6738-4248-aa5a-85e6da775921,2024-08-07 00:00:00.000,
0,62701610,0,1857873,4204,200,2329441,90,0,62701610,2024-08-08 16:18:34.168,10,2024-08-07 21:00:01.240,0.0,30,30,-1,1140000,42,7,0,8,2887.0159,0,85.69035,a22f2a99-ad19-4091-bbd3-cc1440172778.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,2329441,42540000,a22f2a99-ad19-4091-bbd3-cc1440172778,2024-08-08 00:00:00.000,
0,62701610,0,4233538,10364,200,5651816,90,0,62701610,2024-08-09 19:35:02.683,10,2024-08-08 21:00:07.911,0.0,30,30,-1,1319538,104,7,0,8,7300.8184,0,215.012,31b11af6-28db-4504-9691-a01d1d590e16.extra_data.json,8pzzg0NREq,1600,com.sec.android.app.shealth,5650216,48000000,31b11af6-28db-4504-9691-a01d1d590e16,2024-08-09 00:00:00.000,
0,62701610,0,0,3214,200,1793023,90,0,62701610,2024-08-10 18:30:23.035,10,2024-08-09 21:29:50.370,0.0,30,30,-1,300000,32,8,0,8,2188.2205,0,65.15999,a316e804-47a4-4971-8562-955100569e28.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,1793023,30360000,a316e804-47a4-4971-8562-955100569e28,2024-08-10 00:00:00.000,
0,62701610,0,3308390,7233,200,3968778,90,0,62701610,2024-08-11 20:25:47.041,10,2024-08-10 21:00:03.447,0.0,30,30,-1,1954000,73,7,0,8,5012.252,0,147.99982,58bf9208-ee64-4d4f-a5db-059ec5559008.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,3968778,43200000,58bf9208-ee64-4d4f-a5db-059ec5559008,2024-08-11 00:00:00.000,
0,62701610,0,659000,4964,200,2749718,90,0,62701610,2024-08-13 11:30:09.445,10,2024-08-11 21:00:01.761,0.0,30,30,-1,660000,50,12,0,8,3374.2305,0,100.37567,b59222b1-30ac-4834-bdee-432b83daba71.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,2749718,19020000,b59222b1-30ac-4834-bdee-432b83daba71,2024-08-12 00:00:00.000,
